Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,GestationLen,HomeRange,DietBreadth,LitterSize,LittersPerYear,MaxLongevity,HabitatBreadth,NeonateBodyMass,PopulationDensity,Terrestriality,TrophicLevel
Primates,Cercopithecidae,Colobus,vellerosus,Colobus vellerosus,diurnal,7700.18,NA,0.29,1,1.02,NA,NA,1,NA,NA,NA,NA
Carnivora,Felidae,Catopuma,temminckii,Catopuma temminckii,NA,7726.46,99.07,NA,NA,1.5,NA,216,1,165.83,NA,ground dwelling,carnivore
Primates,Cercopithecidae,Macaca,nemestrina,Macaca nemestrina,diurnal,7820.78,171,1.75,NA,1.01,NA,411.6,1,472.92,18.92,NA,herbivore
Carnivora,Mustelidae,Taxidea,taxus,Taxidea taxus,nocturnal,7842.15,43.8,3.44,NA,2.76,NA,312,1,93.49,1.94,ground dwelling,carnivore
Diprotodontia,Macropodidae,Dendrolagus,goodfellowi,Dendrolagus goodfellowi,both,7948.78,37.94,NA,NA,1,NA,252,1,NA,NA,above ground,herbivore
Primates,Cercopithecidae,Erythrocebus,patas,Erythrocebus patas,diurnal,7966.3,167.2,28.24,4,1.01,NA,286.8,1,621.67,0.26,NA,omnivore
Artiodactyla,Suidae,Sus,salvanius,Sus salvanius,both,7974.13,110.5,0.15,3,3.66,NA,144,1,NA,NA,ground dwelling,omnivore
Rodentia,Caviidae,Dolichotis,patagonum,Dolichotis patagonum,diurnal,8000,97.97,0.69,NA,1.75,3.5,168,NA,578.96,NA,ground dwelling,herbivore
Rodentia,Hystricidae,Hystrix,brachyura,Hystrix brachyura,nocturnal,8000,112,NA,1,1.41,NA,327.6,NA,340.74,NA,ground dwelling,omnivore
Diprotodontia,Macropodidae,Macropus,irma,Macropus irma,nocturnal,8000,NA,NA,NA,1,NA,NA,NA,NA,26.7,ground dwelling,NA
Pholidota,Manidae,Manis,crassicaudata,Manis crassicaudata,nocturnal,8017.56,67.5,NA,NA,1,1,162,2,311.12,NA,above ground,carnivore
Primates,Cercopithecidae,Piliocolobus,rufomitratus,Piliocolobus rufomitratus,diurnal,8030.75,195,0.05,NA,1.01,NA,NA,NA,NA,186.44,above ground,herbivore
Carnivora,Mustelidae,Lontra,canadensis,Lontra canadensis,both,8087.42,58.4,14.18,NA,2.67,NA,300,3,135.94,1.12,ground dwelling,carnivore
Carnivora,Felidae,Leopardus,jacobitus,Leopardus jacobitus,NA,8133.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,ground dwelling,carnivore
Carnivora,Hyaenidae,Proteles,cristata,Proteles cristata,nocturnal,8139.39,90.62,1.51,NA,2.64,NA,300,3,275,0.81,ground dwelling,carnivore
Primates,Cercopithecidae,Trachypithecus,francoisi,Trachypithecus francoisi,diurnal,8139.93,NA,NA,NA,NA,NA,NA,2,454.56,NA,NA,herbivore
Carnivora,Mustelidae,Arctonyx,collaris,Arctonyx collaris,nocturnal,8166.52,42.89,NA,NA,3,NA,167,NA,58,NA,ground dwelling,omnivore
Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,nocturnal,8172.55,116.24,NA,3,1.01,1.75,192,1,674.77,48.71,ground dwelling,herbivore
Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,Sarcophilus harrisii,both,8202.25,21,NA,NA,2.88,1,98.4,NA,0.02,5.9,ground dwelling,carnivore
Primates,Atelidae,Oreonax,flavicauda,Oreonax flavicauda,diurnal,8229.12,225,NA,7,1,NA,NA,3,NA,6.46,above ground,herbivore
Carnivora,Canidae,Canis,mesomelas,Canis mesomelas,both,8247.3,62.5,11.93,7,3.89,NA,168,3,177.2,0.74,ground dwelling,omnivore
Diprotodontia,Macropodidae,Dendrolagus,matschiei,Dendrolagus matschiei,both,8293.4,33.95,0.23,6,1.01,NA,286,NA,NA,NA,above ground,herbivore
Primates,Cercopithecidae,Trachypithecus,geei,Trachypithecus geei,diurnal,8356,NA,2.22,NA,1.02,NA,NA,1,NA,2.6,NA,NA
Carnivora,Canidae,Atelocynus,microtis,Atelocynus microtis,NA,8363.22,NA,NA,2,NA,NA,132,1,NA,NA,ground dwelling,carnivore
Primates,Cercopithecidae,Piliocolobus,badius,Piliocolobus badius,both,8430.4,151.41,0.42,1,1,0.5,NA,1,NA,130.65,above ground,omnivore
Diprotodontia,Macropodidae,Dendrolagus,spadix,Dendrolagus spadix,both,8468.2,NA,NA,1,1,NA,NA,1,NA,NA,above ground,herbivore
Diprotodontia,Macropodidae,Petrogale,xanthopus,Petrogale xanthopus,NA,8499.99,33.16,NA,4,1.02,NA,144,1,0.48,15,ground dwelling,herbivore
Primates,Cercopithecidae,Macaca,assamensis,Macaca assamensis,diurnal,8546.89,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Artiodactyla,Bovidae,Philantomba,maxwellii,Philantomba maxwellii,both,8557.69,205,NA,4,1,NA,147,2,827.49,5.97,ground dwelling,omnivore
Primates,Indriidae,Indri,indri,Indri indri,diurnal,8565.48,136.5,0.12,NA,1.01,0.42,NA,NA,NA,10.62,above ground,herbivore
Carnivora,Canidae,Lycalopex,culpaeus,Lycalopex culpaeus,nocturnal,8616.24,58.72,5.05,3,4.88,NA,NA,1,167.99,1.01,ground dwelling,carnivore
Primates,Atelidae,Ateles,paniscus,Ateles paniscus,diurnal,8697.25,228.18,1.36,NA,1,NA,453.6,NA,478.64,8,above ground,omnivore
Primates,Cercopithecidae,Colobus,polykomos,Colobus polykomos,diurnal,8797.29,172.69,0.14,4,1,NA,366,1,489.89,23.5,NA,herbivore
Carnivora,Felidae,Prionailurus,viverrinus,Prionailurus viverrinus,both,8826.46,71.43,NA,NA,2,NA,120,NA,170,NA,ground dwelling,carnivore
Primates,Cercopithecidae,Piliocolobus,preussi,Piliocolobus preussi,diurnal,8865.71,195,0.39,NA,1.01,NA,NA,NA,NA,NA,above ground,herbivore
Carnivora,Mustelidae,Lutra,lutra,Lutra lutra,nocturnal,8868.69,64.27,21.31,NA,2.01,1,264,NA,284.99,0.85,ground dwelling,carnivore
Carnivora,Mustelidae,Lutrogale,perspicillata,Lutrogale perspicillata,NA,8912.49,63.31,5.31,NA,3.24,NA,180,NA,NA,4.42,ground dwelling,carnivore
Monotremata,Tachyglossidae,Zaglossus,bruijni,Zaglossus bruijni,nocturnal,8951.71,10,NA,NA,1,NA,372,NA,NA,1.6,ground dwelling,carnivore
Diprotodontia,Macropodidae,Dendrolagus,dorianus,Dendrolagus dorianus,both,8976.58,NA,NA,NA,1.01,NA,96,NA,NA,NA,above ground,omnivore
Primates,Cercopithecidae,Colobus,angolensis,Colobus angolensis,diurnal,8990.31,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,herbivore
Rodentia,Cuniculidae,Cuniculus,taczanowskii,Cuniculus taczanowskii,nocturnal,8999.95,NA,NA,NA,1,2,NA,NA,NA,NA,ground dwelling,herbivore
Carnivora,Mustelidae,Mellivora,capensis,Mellivora capensis,both,8999.99,181.46,NA,NA,2.35,2,318,NA,210,NA,ground dwelling,omnivore
Primates,Cercopithecidae,Colobus,satanas,Colobus satanas,diurnal,9055.32,192.76,0.44,NA,0.99,NA,NA,NA,NA,26.57,above ground,herbivore
Primates,Atelidae,Ateles,fusciceps,Ateles fusciceps,diurnal,9067.94,224.7,NA,NA,1.01,NA,288,1,499.99,NA,above ground,herbivore
Primates,Cercopithecidae,Rhinopithecus,avunculus,Rhinopithecus avunculus,diurnal,9086.19,200,NA,NA,1,NA,NA,NA,NA,NA,above ground,NA
Carnivora,Viverridae,Viverra,zibetha,Viverra zibetha,nocturnal,9148.77,80.3,9.36,NA,2.89,NA,240,NA,NA,NA,ground dwelling,omnivore
Artiodactyla,Bovidae,Cephalophus,adersi,Cephalophus adersi,NA,9249.95,120,NA,NA,1,NA,48.96,NA,NA,3.65,ground dwelling,herbivore
Primates,Cercopithecidae,Macaca,arctoides,Macaca arctoides,diurnal,9358.04,176.6,NA,NA,1.01,NA,360,NA,488.99,NA,NA,herbivore
Diprotodontia,Macropodidae,Dendrolagus,mbaiso,Dendrolagus mbaiso,NA,9395.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artiodactyla,Bovidae,Raphicerus,sharpei,Raphicerus sharpei,nocturnal,9396.9,212.91,NA,NA,1,NA,168,NA,NA,0.51,ground dwelling,herbivore
Primates,Cercopithecidae,Pygathrix,nemaeus,Pygathrix nemaeus,diurnal,9411.1,182.88,NA,NA,1.01,NA,300,NA,191.94,NA,NA,herbivore
Carnivora,Eupleridae,Cryptoprocta,ferox,Cryptoprocta ferox,both,9500,92.54,0.75,NA,2.98,1,240,NA,99.96,0.88,above ground,carnivore
Artiodactyla,Cervidae,Pudu,mephistophiles,Pudu mephistophiles,NA,9599.96,NA,NA,NA,1,NA,120,NA,400,NA,NA,NA
Artiodactyla,Cervidae,Pudu,puda,Pudu puda,both,9642.62,210,0.17,NA,1.22,NA,150,NA,780,NA,ground dwelling,herbivore
Carnivora,Canidae,Canis,aureus,Canis aureus,both,9658.7,61.24,2.95,NA,3.74,NA,192,NA,211.82,0.22,ground dwelling,omnivore
Carnivora,Felidae,Lynx,canadensis,Lynx canadensis,nocturnal,9682.82,62.5,30.6,NA,2.73,NA,321,NA,204,0.05,ground dwelling,carnivore
Cingulata,Dasypodidae,Dasypus,kappleri,Dasypus kappleri,both,9702.83,NA,NA,NA,4.47,NA,NA,NA,NA,NA,ground dwelling,omnivore
Primates,Cercopithecidae,Trachypithecus,auratus,Trachypithecus auratus,diurnal,9719.6,NA,0.03,1,NA,NA,NA,2,NA,41.99,NA,NA
Primates,Cercopithecidae,Colobus,guereza,Colobus guereza,diurnal,9925.88,169.02,0.17,2,1,NA,294,1,444.92,99.2,above ground,herbivore
Diprotodontia,Macropodidae,Dendrolagus,scottae,Dendrolagus scottae,both,9958.58,NA,NA,NA,1.01,NA,NA,NA,NA,NA,above ground,herbivore
Diprotodontia,Phalangeridae,Ailurops,ursinus,Ailurops ursinus,nocturnal,10000,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,herbivore
Primates,Cercopithecidae,Semnopithecus,hypoleucos,Semnopithecus hypoleucos,NA,10026.65,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Primates,Cercopithecidae,Macaca,tonkeana,Macaca tonkeana,diurnal,10035.53,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
Primates,Cercopithecidae,Macaca,fuscata,Macaca fuscata,diurnal,10114.76,172.99,1.43,NA,1.02,1,396,NA,501.57,30.19,above ground,omnivore
Primates,Cercopithecidae,Pygathrix,nigripes,Pygathrix nigripes,NA,10333.32,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,herbivore
Carnivora,Canidae,Canis,adustus,Canis adustus,nocturnal,10392.49,65,1.01,4,4.5,NA,137,1,NA,0.74,ground dwelling,omnivore
Diprotodontia,Macropodidae,Dendrolagus,bennettianus,Dendrolagus bennettianus,NA,10458.82,NA,NA,NA,1,NA,240,1,NA,27.38,above ground,NA
Artiodactyla,Bovidae,Raphicerus,melanotis,Raphicerus melanotis,nocturnal,10503.14,NA,NA,3,NA,NA,168,NA,NA,10.5,ground dwelling,herbivore
Primates,Atelidae,Brachyteles,arachnoides,Brachyteles arachnoides,diurnal,10537.31,221.75,1.04,4,1.02,NA,NA,1,NA,5.49,above ground,omnivore
Primates,Cercopithecidae,Macaca,thibetana,Macaca thibetana,diurnal,10593.06,169.02,NA,2,1.01,NA,NA,1,499.99,NA,NA,NA
Primates,Cercopithecidae,Trachypithecus,johnii,Trachypithecus johnii,diurnal,10595.08,NA,0.08,2,1.02,NA,NA,1,NA,71,NA,herbivore
Artiodactyla,Cervidae,Muntiacus,rooseveltorum,Muntiacus rooseveltorum,NA,10762.64,212.49,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Primates,Hylobatidae,Symphalangus,syndactylus,Symphalangus syndactylus,diurnal,10839,230.66,0.22,6,1.02,NA,456,1,517,4.99,NA,omnivore
Artiodactyla,Tragulidae,Hyemoschus,aquaticus,Hyemoschus aquaticus,nocturnal,10850,173.52,0.2,2,1.22,1,168,NA,NA,15.85,ground dwelling,herbivore
Primates,Cercopithecidae,Piliocolobus,pennantii,Piliocolobus pennantii,diurnal,10896,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA
Artiodactyla,Bovidae,Dorcatragus,megalotis,Dorcatragus megalotis,diurnal,10918.12,NA,NA,NA,1,NA,168,1,NA,NA,ground dwelling,herbivore
Primates,Cercopithecidae,Rhinopithecus,bieti,Rhinopithecus bieti,diurnal,11000.54,170,20.4,NA,NA,NA,NA,1,424.72,2.5,NA,omnivore
Carnivora,Felidae,Lynx,pardinus,Lynx pardinus,NA,11050,69.44,7.19,2,2.5,NA,NA,2,NA,0.32,ground dwelling,carnivore
Primates,Cercopithecidae,Trachypithecus,pileatus,Trachypithecus pileatus,diurnal,11219.93,NA,0.22,1,NA,NA,NA,1,NA,81.49,NA,NA
Diprotodontia,Macropodidae,Macropus,dorsalis,Macropus dorsalis,NA,11249.96,34.98,0.71,NA,1,NA,180,NA,NA,110,ground dwelling,NA
Carnivora,Felidae,Profelis,aurata,Profelis aurata,both,11277.17,81.34,NA,NA,2.25,NA,NA,1,211.24,NA,ground dwelling,carnivore
Primates,Cercopithecidae,Macaca,sylvanus,Macaca sylvanus,diurnal,11471.53,164.84,2.63,4,1.02,NA,264,NA,449.85,12.5,above ground,omnivore
Artiodactyla,Bovidae,Raphicerus,campestris,Raphicerus campestris,diurnal,11661.53,210,0.43,4,0.98,NA,168,2,916.51,1.27,ground dwelling,herbivore
Diprotodontia,Macropodidae,Macropus,agilis,Macropus agilis,NA,11815.75,30.51,NA,5,1.01,1.8,144,2,0.63,17.71,ground dwelling,herbivore
Carnivora,Felidae,Leopardus,pardalis,Leopardus pardalis,both,11880,81.99,5.08,5,1.66,1,243.6,2,250,0.42,ground dwelling,carnivore
